,lane,x,y,yaw,width
0,-1,102.68936157226562,-2.049872875213623,179.9813232421875,4.0
1,-1,101.68936157226562,-2.049546957015991,179.9813232421875,4.0
2,-1,100.68936157226562,-2.0492210388183594,179.9813232421875,4.0
3,-1,99.68936157226562,-2.0488951206207275,179.9813232421875,4.0
4,-1,98.68936157226562,-2.0485692024230957,179.9813232421875,4.0
5,-1,97.68936157226562,-2.048243284225464,179.9813232421875,4.0
6,-1,96.5240707397461,-2.017336845397949,-184.77828979492188,4.0
7,-1,95.24909973144531,-1.8163355588912964,-193.13967895507812,4.0
8,-1,94.01689910888672,-1.432068943977356,-201.50106811523438,4.0
9,-1,92.85368347167969,-0.8727061748504639,-209.86245727539062,4.0
10,-1,91.78417205810547,-0.1501375436782837,-218.22384643554688,4.0
11,-1,90.83162689208984,0.7196875810623169,133.43714904785156,4.0
12,-1,90.0169448852539,1.7137645483016968,125.2337646484375,4.0
13,-1,89.35245513916016,2.813913106918335,117.03038024902344,4.0
14,-1,88.85173797607422,3.997619390487671,108.82699584960938,4.0
15,-1,88.5250473022461,5.240660190582275,100.62361145019531,4.0
16,-1,88.37906646728516,6.5175957679748535,92.42022705078125,4.0
17,-1,88.37115478515625,7.602269172668457,89.99127960205078,4.0
18,-1,88.37130737304688,8.602269172668457,89.99127960205078,4.0
19,-1,88.3714599609375,9.602269172668457,89.99127960205078,4.0
20,-1,88.37161254882812,10.602269172668457,89.99127960205078,4.0
21,-1,384.591064453125,-1.9799997806549072,-179.96954345703125,4.0
22,1,384.58892822265625,2.0199997425079346,0.03045654296875,4.0
23,-1,383.591064453125,-1.9805309772491455,-179.96954345703125,4.0
24,1,383.58892822265625,2.0194685459136963,0.03045654296875,4.0
25,-1,382.591064453125,-1.9810622930526733,-179.96954345703125,4.0
26,1,382.58892822265625,2.018937349319458,0.03045654296875,4.0
27,-1,381.591064453125,-1.9815934896469116,-179.96954345703125,4.0
28,1,381.58892822265625,2.0184061527252197,0.03045654296875,4.0
29,-1,380.591064453125,-1.98212468624115,-179.96954345703125,4.0
30,1,380.58892822265625,2.0178747177124023,0.03045654296875,4.0
31,-1,379.591064453125,-1.9826560020446777,-179.96954345703125,4.0
32,1,379.58892822265625,2.017343521118164,0.03045654296875,4.0
33,-1,378.591064453125,-1.983187198638916,-179.96954345703125,4.0
34,1,378.58892822265625,2.016812324523926,0.03045654296875,4.0
35,-1,377.591064453125,-1.9837183952331543,-179.96954345703125,4.0
36,1,377.58892822265625,2.0162811279296875,0.03045654296875,4.0
37,-1,376.591064453125,-1.9842497110366821,-179.96954345703125,4.0
38,1,376.58892822265625,2.015749931335449,0.03045654296875,4.0
39,-1,375.591064453125,-1.9847809076309204,-179.96954345703125,4.0
40,1,375.58892822265625,2.015218734741211,0.03045654296875,4.0
41,-1,374.591064453125,-1.9853121042251587,-179.96954345703125,4.0
42,1,374.58892822265625,2.0146872997283936,0.03045654296875,4.0
43,-1,373.591064453125,-1.9858434200286865,-179.96954345703125,4.0
