,lane,x,y,yaw,width
0,-1,91.5208969116211,65.6131362915039,-36.44963836669922,3.5
1,-1,92.4676742553711,64.97217559814453,-31.746044158935547,3.5
2,-1,93.46382904052734,64.4110107421875,-27.042449951171875,3.5
3,-1,94.50263977050781,63.933414459228516,-22.338855743408203,3.5
4,-1,95.57711791992188,63.54261016845703,-17.63526153564453,3.5
5,-1,96.68002319335938,63.24123001098633,-12.931669235229492,3.5
6,-1,97.77092742919922,63.033016204833984,-9.303861618041992,3.5
7,-1,98.81067657470703,62.878273010253906,-7.626341342926025,3.5
8,-1,99.8545150756836,62.754032135009766,-5.948822021484375,3.5
9,-1,100.90152740478516,62.660400390625,-4.271302700042725,3.5
10,-1,101.95083618164062,62.59746551513672,-2.593783140182495,3.5
11,-1,103.00154876708984,62.565269470214844,-0.9162637591362,3.5
12,-1,104.02508544921875,62.559391021728516,-0.1474011093378067,3.5
13,-1,105.02508544921875,62.556819915771484,-0.1474011093378067,3.5
14,1,96.1087417602539,-132.71258544921875,1.227264404296875,3.5
15,1,95.10897064208984,-132.7340087890625,1.227264404296875,3.5
16,1,94.10919952392578,-132.7554168701172,1.227264404296875,3.5
17,1,93.17180633544922,-132.77008056640625,-0.82952880859375,3.5
18,1,92.34576416015625,-132.71746826171875,-6.4595794677734375,3.5
19,1,91.52888488769531,-132.58407592773438,-12.089614868164062,3.5
20,1,90.7290267944336,-132.3711700439453,-17.719680786132812,3.5
21,1,89.95390319824219,-132.08084106445312,-23.349716186523438,3.5
22,1,89.21102142333984,-131.71585083007812,-28.979782104492188,3.5
23,1,88.50751495361328,-131.2797393798828,-34.60981750488281,3.5
24,1,87.85018920898438,-130.7767333984375,-40.2398681640625,3.5
25,1,87.24536895751953,-130.21165466308594,-45.86900329589844,3.5
26,1,86.6988525390625,-129.58993530273438,-51.496978759765625,3.5
27,1,86.2159423828125,-128.91761779785156,-57.124969482421875,3.5
28,1,85.8012924194336,-128.20120239257812,-62.75294494628906,3.5
29,1,85.45890045166016,-127.44755554199219,-68.38093566894531,3.5
30,1,85.19207000732422,-126.66397857666016,-74.00889587402344,3.5
31,1,85.00337219238281,-125.85800170898438,-79.63690185546875,3.5
32,1,84.89462280273438,-125.03739929199219,-85.26486206054688,3.5
33,1,84.8528060913086,-124.12156677246094,272.02410888671875,3.5
34,1,84.81748962402344,-123.12218475341797,272.02410888671875,3.5
35,1,84.78216552734375,-122.12281036376953,272.02410888671875,3.5
36,-2,140.9150848388672,-204.46627807617188,-178.56044006347656,3.5
37,-1,140.8271484375,-200.96739196777344,-178.56044006347656,3.5
38,2,140.6512908935547,-193.9696044921875,1.4395599365234375,3.5
39,3,140.56336975097656,-190.470703125,1.4395599365234375,3.5
40,-2,139.9154052734375,-204.49139404296875,-178.56044006347656,3.5
41,-1,139.8274688720703,-200.9925079345703,-178.56044006347656,3.5
42,2,139.651611328125,-193.99472045898438,1.4395599365234375,3.5
43,3,139.56369018554688,-190.49581909179688,1.4395599365234375,3.5
44,-2,138.91571044921875,-204.5165252685547,-178.56044006347656,3.5
45,-1,138.82777404785156,-201.01763916015625,-178.56044006347656,3.5
46,2,138.65191650390625,-194.0198516845703,1.4395599365234375,3.5
47,3,138.56399536132812,-190.5209503173828,1.4395599365234375,3.5
48,-2,137.91603088378906,-204.54164123535156,-178.56044006347656,3.5
49,-1,137.82809448242188,-201.04275512695312,-178.56044006347656,3.5
50,2,137.65223693847656,-194.0449676513672,1.4395599365234375,3.5
51,3,137.56431579589844,-190.5460662841797,1.4395599365234375,3.5
52,-2,136.91635131835938,-204.5667724609375,-178.56044006347656,3.5
53,-1,136.8284149169922,-201.06788635253906,-178.56044006347656,3.5
54,2,136.65255737304688,-194.07009887695312,1.4395599365234375,3.5
55,3,136.56463623046875,-190.57119750976562,1.4395599365234375,3.5
56,-2,135.91665649414062,-204.59188842773438,-178.56044006347656,3.5
57,-1,135.82872009277344,-201.09300231933594,-178.56044006347656,3.5
58,2,135.65286254882812,-194.09521484375,1.4395599365234375,3.5
59,3,135.56494140625,-190.5963134765625,1.4395599365234375,3.5
60,-2,134.91697692871094,-204.61700439453125,-178.56044006347656,3.5
61,-1,134.82904052734375,-201.1181182861328,-178.56044006347656,3.5
62,2,134.65318298339844,-194.12033081054688,1.4395599365234375,3.5
63,3,134.5652618408203,-190.62142944335938,1.4395599365234375,3.5
64,-2,133.91729736328125,-204.6421356201172,-178.56044006347656,3.5
65,-1,133.82936096191406,-201.14324951171875,-178.56044006347656,3.5
66,2,133.65350341796875,-194.1454620361328,1.4395599365234375,3.5
67,3,133.56558227539062,-190.6465606689453,1.4395599365234375,3.5
68,-2,132.9176025390625,-204.66725158691406,-178.56044006347656,3.5
69,-1,132.8296661376953,-201.16836547851562,-178.56044006347656,3.5
70,2,132.65380859375,-194.1705780029297,1.4395599365234375,3.5
71,3,132.56588745117188,-190.6716766357422,1.4395599365234375,3.5
72,-2,131.9179229736328,-204.6923828125,-178.56044006347656,3.5
73,-1,131.82998657226562,-201.19349670410156,-178.56044006347656,3.5
74,2,131.6541290283203,-194.19570922851562,1.4395599365234375,3.5
75,3,131.5662078857422,-190.69680786132812,1.4395599365234375,3.5
76,-2,130.91824340820312,-204.71749877929688,-178.56044006347656,3.5
77,-1,130.83030700683594,-201.21861267089844,-178.56044006347656,3.5
78,2,130.65444946289062,-194.2208251953125,1.4395599365234375,3.5
79,3,130.5665283203125,-190.721923828125,1.4395599365234375,3.5
80,-2,129.91854858398438,-204.74261474609375,-178.56044006347656,3.5
81,-1,129.8306121826172,-201.2437286376953,-178.56044006347656,3.5
82,2,129.65475463867188,-194.24594116210938,1.4395599365234375,3.5
83,3,129.56683349609375,-190.74703979492188,1.4395599365234375,3.5
84,-2,128.9188690185547,-204.7677459716797,-178.56044006347656,3.5
85,-1,128.8309326171875,-201.26885986328125,-178.56044006347656,3.5
86,2,128.6550750732422,-194.2710723876953,1.4395599365234375,3.5
87,3,128.56715393066406,-190.7721710205078,1.4395599365234375,3.5
88,-2,127.919189453125,-204.79286193847656,-178.56044006347656,3.5
89,-1,127.83126068115234,-201.29397583007812,-178.56044006347656,3.5
90,2,127.65541076660156,-194.2961883544922,1.4395599365234375,3.5
91,3,127.5674819946289,-190.7972869873047,1.4395599365234375,3.5
92,-2,126.91950225830078,-204.8179931640625,-178.56044006347656,3.5
93,-1,126.83157348632812,-201.31910705566406,-178.56044006347656,3.5
94,2,126.65572357177734,-194.32131958007812,1.4395599365234375,3.5
95,3,126.56779479980469,-190.82241821289062,1.4395599365234375,3.5
96,-2,125.91981506347656,-204.84310913085938,-178.56044006347656,3.5
97,-1,125.8318862915039,-201.34422302246094,-178.56044006347656,3.5
98,2,125.65603637695312,-194.346435546875,1.4395599365234375,3.5
99,3,125.56810760498047,-190.8475341796875,1.4395599365234375,3.5
100,-2,124.92013549804688,-204.8682403564453,-178.56044006347656,3.5
101,-1,124.83220672607422,-201.36935424804688,-178.56044006347656,3.5
